ENCODED_MCT,snapshot_date,sales_grade,visits_grade,unit_price_grade,revisit_ratio,new_customer_ratio,resident_ratio,worker_ratio,floating_ratio,delivery_ratio,industry_sales_change,trade_sales_change
00F54829E1,2023-09-01,0.417,0.25,0.75,30.97,7.86,42.0,9.3,48.7,0.0,21.8,27.8
00F54829E1,2023-10-01,0.583,0.25,0.75,31.02,4.79,37.0,5.0,58.0,0.0,21.8,27.8
00F54829E1,2023-11-01,0.583,0.25,0.75,31.47,5.08,40.55944055944056,14.885114885114886,44.55544455544456,0.0,21.8,27.8
00F54829E1,2023-12-01,0.583,0.25,0.75,32.89,4.83,41.0,5.0,54.0,0.0,21.8,27.8
00F54829E1,2024-01-01,0.583,0.25,0.75,32.66,6.41,42.5,7.1,50.4,0.0,21.8,27.8
00F54829E1,2024-02-01,0.583,0.25,0.75,34.25,5.69,40.9,6.1,53.0,0.0,21.8,27.8
00F54829E1,2024-03-01,0.583,0.25,0.75,34.04,6.85,42.2,3.9,53.9,0.0,21.8,27.8
00F54829E1,2024-04-01,0.417,0.25,0.75,34.53,7.98,41.8,4.1,54.1,0.0,21.8,27.8
00F54829E1,2024-05-01,0.417,0.25,0.75,36.2,8.1,42.75724275724276,5.294705294705295,51.94805194805196,0.0,21.8,27.8
00F54829E1,2024-06-01,0.417,0.25,0.75,36.52,6.84,44.5,5.2,50.3,0.0,21.8,27.8
00F54829E1,2024-07-01,0.417,0.25,0.75,35.44,10.32,39.9,6.0,54.1,0.0,21.8,27.8
00F54829E1,2024-08-01,0.417,0.25,0.75,34.36,11.52,47.0,4.5,48.5,0.0,21.8,27.8
00F54829E1,2024-09-01,0.417,0.25,0.75,32.97,8.84,45.65434565434565,3.4965034965034967,50.849150849150845,0.0,21.8,27.8
00F54829E1,2024-10-01,0.583,0.25,0.75,32.82,6.82,48.25174825174825,5.594405594405594,46.15384615384616,0.0,21.8,27.8
00F54829E1,2024-11-01,0.583,0.25,0.75,33.24,4.74,48.3,9.2,42.5,0.0,21.8,27.8
00F54829E1,2024-12-01,0.583,0.25,0.75,33.18,5.76,34.6,12.6,52.8,0.0,21.8,27.8
00FDB35E9C,2023-01-01,0.583,0.417,0.75,35.24,4.85,46.3,3.7,50.0,9.8,21.8,27.8
00FDB35E9C,2023-02-01,0.583,0.417,0.75,35.41,7.73,52.4,12.7,34.9,7.4,21.8,27.8
00FDB35E9C,2023-03-01,0.583,0.417,0.75,35.22,5.87,39.33933933933933,13.113113113113112,47.547547547547545,10.5,21.8,27.8
00FDB35E9C,2023-04-01,0.583,0.417,0.75,35.12,7.28,39.7,7.4,52.9,10.0,21.8,27.8
00FDB35E9C,2023-05-01,0.583,0.417,0.75,35.91,7.74,40.6,10.1,49.3,2.6,21.8,27.8
00FDB35E9C,2023-06-01,0.583,0.417,0.75,37.88,5.84,52.4,14.3,33.3,6.5,21.8,27.8
00FDB35E9C,2023-07-01,0.583,0.417,0.75,37.96,5.21,36.36363636363637,16.383616383616385,47.25274725274725,4.2,21.8,27.8
00FDB35E9C,2023-08-01,0.75,0.417,0.75,37.22,4.48,37.2,16.3,46.5,0.0,21.8,27.8
00FDB35E9C,2023-09-01,0.583,0.417,0.75,37.53,6.07,44.0,14.0,42.0,3.6,21.8,27.8
00FDB35E9C,2023-10-01,0.583,0.417,0.75,36.68,5.37,47.64764764764765,19.01901901901902,33.33333333333333,1.9,21.8,27.8
00FDB35E9C,2023-11-01,0.583,0.417,0.75,36.3,4.09,50.0,15.0,35.0,3.8,21.8,27.8
00FDB35E9C,2023-12-01,0.583,0.417,0.75,35.27,7.0,44.2,21.2,34.6,6.4,21.8,27.8
00FDB35E9C,2024-01-01,0.583,0.417,0.75,33.89,8.06,46.44644644644645,8.90890890890891,44.64464464464464,13.8,21.8,27.8
00FDB35E9C,2024-02-01,0.583,0.417,0.75,32.62,7.8,42.4,16.9,40.7,16.1,21.8,27.8
00FDB35E9C,2024-03-01,0.583,0.417,0.75,33.64,8.58,41.44144144144144,21.421421421421417,37.13713713713714,13.1,21.8,27.8
00FDB35E9C,2024-04-01,0.583,0.417,0.75,33.41,8.53,57.4,11.5,31.1,33.0,21.8,27.8
00FDB35E9C,2024-05-01,0.583,0.417,0.75,34.21,5.74,56.5,15.2,28.3,17.8,21.8,27.8
00FDB35E9C,2024-06-01,0.583,0.417,0.75,33.91,6.44,53.1,16.3,30.6,29.2,21.8,27.8
00FDB35E9C,2024-07-01,0.583,0.417,0.75,32.0,5.75,44.44444444444445,22.222222222222225,33.33333333333333,41.7,21.8,27.8
00FDB35E9C,2024-08-01,0.583,0.417,0.75,32.58,4.55,47.6,21.4,31.0,56.8,21.8,27.8
00FDB35E9C,2024-09-01,0.583,0.417,0.583,33.33,11.19,55.6,12.5,31.9,46.4,21.8,27.8
00FDB35E9C,2024-10-01,0.583,0.417,0.75,34.7,6.75,49.1,11.3,39.6,50.7,21.8,27.8
00FDB35E9C,2024-11-01,0.583,0.417,0.75,36.38,7.51,57.1,17.9,25.0,45.2,21.8,27.8
00FDB35E9C,2024-12-01,0.583,0.417,0.75,34.19,6.51,62.5,10.9,26.6,38.6,21.8,27.8
01EDD97C21,2023-01-01,0.583,0.25,0.75,36.75,7.61,10.8,28.4,60.8,20.9,19.4,13.9
01EDD97C21,2023-02-01,0.417,0.25,0.75,37.94,6.25,16.8,29.5,53.7,12.9,19.3,14.1
01EDD97C21,2023-03-01,0.583,0.25,0.75,38.09,6.85,19.2,28.3,52.5,18.0,19.7,14.3
01EDD97C21,2023-04-01,0.417,0.25,0.583,36.59,6.98,19.8,24.8,55.4,13.4,19.2,14.3
01EDD97C21,2023-05-01,0.583,0.25,0.75,37.75,6.13,19.11911911911912,28.72872872872873,52.15215215215216,7.5,19.0,14.2
01EDD97C21,2023-06-01,0.417,0.25,0.75,38.24,7.0,18.7,29.9,51.4,6.1,18.9,13.9
01EDD97C21,2023-07-01,0.417,0.25,0.75,39.01,6.34,18.3,28.8,52.9,9.5,18.2,13.8
01EDD97C21,2023-08-01,0.417,0.25,0.75,37.36,6.53,15.1,19.8,65.1,16.5,18.0,13.8
01EDD97C21,2023-09-01,0.417,0.25,0.75,38.01,6.17,13.5,24.0,62.5,9.8,17.5,12.8
01EDD97C21,2023-10-01,0.417,0.25,0.75,38.52,5.28,17.7,26.0,56.3,5.3,17.6,12.2
01EDD97C21,2023-11-01,0.417,0.25,0.75,38.87,6.21,10.7,31.3,58.0,4.3,17.0,12.2
01EDD97C21,2023-12-01,0.583,0.25,0.75,37.54,6.09,16.0,25.0,59.0,11.8,17.1,12.7
01EDD97C21,2024-01-01,0.417,0.25,0.75,37.95,5.06,13.313313313313312,32.232232232232235,54.45445445445445,18.1,16.9,12.8
01EDD97C21,2024-02-01,0.583,0.417,0.583,37.75,3.24,11.911911911911911,34.33433433433433,53.75375375375376,4.1,17.4,12.9
01EDD97C21,2024-03-01,0.417,0.25,0.75,37.42,6.75,14.0,20.9,65.1,5.9,17.2,12.3
01EDD97C21,2024-04-01,0.417,0.25,0.583,37.6,5.93,19.3,34.9,45.8,11.1,17.1,12.2
01EDD97C21,2024-05-01,0.583,0.25,0.75,36.28,6.82,16.5,34.1,49.4,12.8,17.4,12.5
01EDD97C21,2024-06-01,0.583,0.417,0.75,37.34,4.97,13.213213213213212,38.23823823823824,48.54854854854855,0.0,18.4,13.2
01EDD97C21,2024-07-01,0.583,0.417,0.75,35.05,6.27,16.183816183816184,32.36763236763237,51.44855144855145,0.0,19.7,14.8
01EDD97C21,2024-08-01,0.583,0.25,0.75,33.28,8.44,16.1,31.0,52.9,0.0,20.8,15.7
01EDD97C21,2024-09-01,0.583,0.417,0.75,33.49,5.4,11.9,28.4,59.7,0.0,22.3,16.8
01EDD97C21,2024-10-01,0.583,0.417,0.75,31.05,4.41,15.1,30.2,54.7,2.7,23.6,17.0
01EDD97C21,2024-11-01,0.583,0.25,0.75,33.33,6.32,10.8,36.5,52.7,6.6,24.3,16.7
01EDD97C21,2024-12-01,0.583,0.25,0.583,34.44,6.82,17.582417582417584,31.06893106893107,51.34865134865135,16.3,23.6,16.7
01FD0FCC3D,2023-11-01,0.917,0.75,0.583,27.035,7.28,12.569988801791713,55.99104143337066,31.438969764837623,89.3,90.5,74.5
01FD0FCC3D,2023-12-01,0.583,0.417,0.583,14.705882352941174,85.29411764705883,23.5,21.6,54.9,38.5,73.5,61.8
01FD0FCC3D,2024-01-01,0.583,0.417,0.583,20.91,46.36,14.514514514514516,32.732732732732735,52.75275275275276,40.4,65.6,57.3
01FD0FCC3D,2024-02-01,0.583,0.417,0.583,26.83,32.93,20.3,18.8,60.9,33.3,59.1,52.4
01FD0FCC3D,2024-03-01,0.417,0.417,0.583,25.99,27.75,26.1,34.8,39.1,24.4,51.9,47.8
01FD0FCC3D,2024-04-01,0.417,0.25,0.583,25.85,22.79,19.980019980019986,23.77622377622378,56.24375624375625,17.8,43.3,42.4
01FD0FCC3D,2024-05-01,0.417,0.25,0.583,25.27,20.11,18.3,26.9,54.8,15.0,36.0,37.1
01FD0FCC3D,2024-06-01,0.417,0.25,0.583,25.35,14.42,22.8,29.1,48.1,13.7,31.4,33.7
01FD0FCC3D,2024-07-01,0.417,0.417,0.583,26.39,7.73,30.0,23.3,46.7,16.7,28.1,31.0
01FD0FCC3D,2024-08-01,0.417,0.25,0.583,27.63,9.34,18.91891891891892,40.54054054054054,40.54054054054054,16.5,24.8,28.2
01FD0FCC3D,2024-09-01,0.583,0.417,0.583,28.26,6.88,19.7,34.4,45.9,19.9,23.1,26.8
01FD0FCC3D,2024-10-01,0.417,0.417,0.583,28.31,7.54,16.0,34.7,49.3,9.7,21.2,24.9
01FD0FCC3D,2024-11-01,0.417,0.417,0.583,29.51,4.78,18.3,35.0,46.7,21.8,19.9,23.9
01FD0FCC3D,2024-12-01,0.583,0.417,0.583,29.85,2.65,25.925925925925924,37.03703703703704,37.03703703703704,21.2,12.0,23.7
0220D6AA93,2023-01-01,0.25,0.083,0.583,22.3,6.27,22.17782217782218,13.086913086913087,64.73526473526474,2.6,2.8,13.0
0220D6AA93,2023-02-01,0.25,0.083,0.583,22.69,6.21,23.07692307692308,10.289710289710287,66.63336663336663,0.0,2.6,12.7
0220D6AA93,2023-03-01,0.25,0.083,0.75,22.21,5.5,22.7,9.5,67.8,0.0,2.7,12.8
0220D6AA93,2023-04-01,0.25,0.083,0.75,21.97,6.0,21.7,9.5,68.8,0.0,2.7,12.6
0220D6AA93,2023-05-01,0.25,0.083,0.75,21.85,5.5,19.61961961961962,7.807807807807807,72.57257257257257,1.4,2.8,12.7
0220D6AA93,2023-06-01,0.25,0.083,0.583,22.16,6.23,26.3,9.6,64.1,2.8,2.9,13.0
0220D6AA93,2023-07-01,0.25,0.083,0.75,21.86,7.64,23.2,8.4,68.4,3.5,3.0,13.4
0220D6AA93,2023-08-01,0.25,0.083,0.583,21.88,7.5,24.9,4.9,70.2,2.1,3.2,13.8
0220D6AA93,2023-09-01,0.25,0.083,0.75,21.79,6.48,21.27872127872128,9.39060939060939,69.33066933066932,2.8,3.2,14.1
0220D6AA93,2023-10-01,0.417,0.083,0.75,21.25,6.78,22.8,12.2,65.0,1.8,3.5,14.7
0220D6AA93,2023-11-01,0.25,0.083,0.75,20.95,6.97,25.2,8.5,66.3,2.7,3.4,15.0
0220D6AA93,2023-12-01,0.25,0.083,0.583,20.91,8.05,24.4,6.8,68.8,1.5,3.5,15.4
0220D6AA93,2024-01-01,0.25,0.083,0.75,20.65,8.19,23.823823823823822,11.01101101101101,65.16516516516516,0.2,3.5,15.5
0220D6AA93,2024-02-01,0.25,0.083,0.75,20.51,6.56,28.3,9.3,62.4,0.0,3.7,16.0
0220D6AA93,2024-03-01,0.25,0.083,0.75,20.5,8.34,26.5,9.0,64.5,0.0,3.6,15.7
0220D6AA93,2024-04-01,0.25,0.083,0.75,20.86,8.2,20.7,9.6,69.7,0.0,3.6,15.6
0220D6AA93,2024-05-01,0.25,0.083,0.75,21.05,7.58,24.5,7.0,68.5,1.0,3.5,15.6
0220D6AA93,2024-06-01,0.25,0.083,0.75,20.9,7.73,23.6,8.9,67.5,2.9,3.5,16.2
0220D6AA93,2024-07-01,0.25,0.083,0.75,21.21,8.07,32.9,7.3,59.8,1.2,3.5,16.4
0220D6AA93,2024-08-01,0.25,0.083,0.75,21.34,8.22,25.925925925925924,7.007007007007007,67.06706706706707,4.4,3.6,16.6
0220D6AA93,2024-09-01,0.25,0.083,0.75,21.45,7.12,22.67732267732268,10.88911088911089,66.43356643356644,4.3,3.6,16.3
0220D6AA93,2024-10-01,0.25,0.083,0.75,22.05,7.46,22.0,9.2,68.8,2.6,3.5,16.0
0220D6AA93,2024-11-01,0.25,0.083,0.75,22.17,6.16,22.9,10.2,66.9,3.1,3.5,15.4
0220D6AA93,2024-12-01,0.25,0.083,0.583,22.64,7.31,22.0,8.0,70.0,3.5,3.0,15.4
029F2B4A59,2023-01-01,0.75,0.583,0.75,26.02,6.14,20.0,16.7,63.3,0.0,21.8,27.8
029F2B4A59,2023-02-01,0.583,0.583,0.583,26.92,6.04,18.4,26.3,55.3,0.0,21.8,27.8
029F2B4A59,2023-03-01,0.583,0.417,0.75,25.87,9.45,20.4,22.2,57.4,0.0,21.8,27.8
029F2B4A59,2023-04-01,0.583,0.417,0.583,26.9,8.28,18.2,23.6,58.2,0.0,21.8,27.8
029F2B4A59,2023-05-01,0.583,0.417,0.583,25.75,6.73,23.9,28.3,47.8,0.0,21.8,27.8
029F2B4A59,2023-06-01,0.583,0.417,0.583,25.93,5.93,14.3,21.4,64.3,0.0,21.8,27.8
029F2B4A59,2023-07-01,0.583,0.583,0.583,25.38,6.6,13.2,26.3,60.5,0.0,21.8,27.8
029F2B4A59,2023-08-01,0.583,0.417,0.583,27.55,7.14,18.9,26.4,54.7,0.0,21.8,27.8
029F2B4A59,2023-09-01,0.75,0.583,0.75,27.86,5.29,17.1,24.4,58.5,0.0,21.8,27.8
029F2B4A59,2023-10-01,0.583,0.417,0.583,27.65,9.22,14.0,24.0,62.0,0.0,21.8,27.8
029F2B4A59,2023-11-01,0.583,0.583,0.583,27.97,5.37,22.5,22.5,55.0,0.0,21.8,27.8
029F2B4A59,2023-12-01,0.75,0.583,0.75,28.17,3.38,14.8,22.2,63.0,4.8,21.8,27.8
029F2B4A59,2024-01-01,0.75,0.583,0.75,29.58,4.79,21.9,37.5,40.6,0.0,21.8,27.8
029F2B4A59,2024-02-01,0.75,0.583,0.583,28.65,4.3,16.683316683316683,36.663336663336665,46.65334665334665,0.0,21.8,27.8
029F2B4A59,2024-03-01,0.583,0.417,0.583,29.39,9.51,18.4,40.8,40.8,0.0,21.8,27.8
029F2B4A59,2024-04-01,0.583,0.417,0.583,26.4,17.6,19.980019980019986,36.26373626373626,43.75624375624376,0.0,21.8,27.8
029F2B4A59,2024-05-01,0.583,0.417,0.75,25.37,11.69,20.9,22.4,56.7,1.7,21.8,27.8
029F2B4A59,2024-06-01,0.583,0.417,0.583,26.08,10.77,16.9,24.6,58.5,1.6,21.8,27.8
029F2B4A59,2024-07-01,0.583,0.417,0.75,27.4,9.59,19.7,25.8,54.5,3.1,21.8,27.8
029F2B4A59,2024-08-01,0.583,0.417,0.583,25.89,8.48,11.11111111111111,31.731731731731728,57.15715715715716,1.0,21.8,27.8
029F2B4A59,2024-09-01,0.583,0.417,0.583,28.51,7.02,30.5,30.5,39.0,3.6,21.8,27.8
029F2B4A59,2024-10-01,0.583,0.417,0.75,29.4,9.44,15.9,23.8,60.3,1.4,21.8,27.8
029F2B4A59,2024-11-01,0.583,0.417,0.583,30.5,7.88,29.02902902902903,29.02902902902903,41.94194194194194,1.1,21.8,27.8
029F2B4A59,2024-12-01,0.583,0.417,0.75,28.94,6.79,18.781218781218783,18.781218781218783,62.43756243756244,3.2,21.8,27.8
02A32AE992,2023-01-01,0.583,0.417,0.75,24.89,4.74,26.3,12.3,61.4,17.9,21.8,27.8
02A32AE992,2023-02-01,0.583,0.417,0.75,24.74,7.91,26.7,5.3,68.0,6.3,21.8,27.8
02A32AE992,2023-03-01,0.583,0.417,0.75,25.04,5.96,25.4,10.4,64.2,14.2,21.8,27.8
02A32AE992,2023-04-01,0.583,0.417,0.75,24.89,5.92,27.0,6.3,66.7,15.6,21.8,27.8
02A32AE992,2023-05-01,0.583,0.417,0.75,25.86,7.17,27.3,9.1,63.6,8.5,21.8,27.8
02A32AE992,2023-06-01,0.583,0.417,0.75,26.84,7.85,32.9,10.5,56.6,14.1,21.8,27.8
02A32AE992,2023-07-01,0.583,0.417,0.583,26.96,6.9,27.872127872127876,6.593406593406594,65.53446553446554,2.5,21.8,27.8
02A32AE992,2023-08-01,0.583,0.417,0.75,25.52,6.9,25.0,5.0,70.0,15.9,21.8,27.8
02A32AE992,2023-09-01,0.583,0.417,0.75,25.08,5.34,20.0,5.5,74.5,16.7,21.8,27.8
02A32AE992,2023-10-01,0.583,0.417,0.75,24.92,5.35,23.5,5.9,70.6,3.6,21.8,27.8
02A32AE992,2023-11-01,0.583,0.417,0.75,25.87,5.59,23.1,11.5,65.4,7.1,21.8,27.8
02A32AE992,2023-12-01,0.583,0.417,0.75,24.78,8.2,27.872127872127876,11.48851148851149,60.63936063936065,11.8,21.8,27.8
02A32AE992,2024-01-01,0.583,0.417,0.75,24.87,8.35,31.9,1.4,66.7,3.3,21.8,27.8
02A32AE992,2024-02-01,0.583,0.417,0.75,25.69,8.79,27.127127127127125,7.107107107107106,65.76576576576576,0.0,21.8,27.8
02A32AE992,2024-03-01,0.583,0.417,0.75,26.79,8.36,36.5,5.4,58.1,3.1,21.8,27.8
02A32AE992,2024-04-01,0.583,0.417,0.75,25.96,9.48,31.6,3.9,64.5,3.5,21.8,27.8
02A32AE992,2024-05-01,0.583,0.417,0.75,25.0,9.09,32.1,1.2,66.7,4.0,21.8,27.8
02A32AE992,2024-06-01,0.583,0.417,0.75,24.63,7.67,27.8,6.9,65.3,13.1,21.8,27.8
02A32AE992,2024-07-01,0.583,0.417,0.75,24.96,11.08,18.8,5.0,76.2,6.5,21.8,27.8
02A32AE992,2024-08-01,0.583,0.25,0.75,25.0,10.95,27.5,7.8,64.7,2.0,21.8,27.8
02A32AE992,2024-09-01,0.583,0.417,0.75,25.54,8.61,38.5,5.5,56.0,4.8,21.8,27.8
02A32AE992,2024-10-01,0.583,0.25,0.75,25.03,10.84,26.4,3.8,69.8,7.5,21.8,27.8
02A32AE992,2024-11-01,0.583,0.417,0.75,24.34,10.49,22.0,6.0,72.0,10.6,21.8,27.8
02A32AE992,2024-12-01,0.583,0.25,0.75,23.95,12.09,32.1,3.0,64.9,16.4,21.8,27.8
02FE4FD151,2023-01-01,0.25,0.083,0.75,37.08,3.4,14.6,37.0,48.4,0.0,5.3,11.0
02FE4FD151,2023-02-01,0.25,0.083,0.75,37.01,5.18,16.9,35.1,48.0,0.0,5.3,10.9
02FE4FD151,2023-03-01,0.25,0.083,0.75,36.98,7.41,16.8,31.1,52.1,0.0,5.3,11.0
02FE4FD151,2023-04-01,0.25,0.083,0.75,36.08,9.03,14.4,28.0,57.6,0.0,5.3,11.0
02FE4FD151,2023-05-01,0.25,0.083,0.75,35.8,8.07,16.7,30.6,52.7,0.0,5.5,11.0
02FE4FD151,2023-06-01,0.25,0.083,0.75,36.76,7.75,16.983016983016984,32.167832167832174,50.849150849150845,0.0,5.5,10.8
02FE4FD151,2023-07-01,0.25,0.083,0.75,36.7,5.94,20.5,33.6,45.9,0.0,5.6,11.0
02FE4FD151,2023-08-01,0.25,0.083,0.75,36.97,6.29,18.418418418418412,30.03003003003003,51.55155155155155,0.0,5.5,10.7
02FE4FD151,2023-09-01,0.25,0.083,0.75,36.7,8.92,18.5,29.8,51.7,0.0,5.3,10.4
02FE4FD151,2023-10-01,0.083,0.083,0.75,37.04,8.76,16.5,28.9,54.6,0.0,5.0,9.8
02FE4FD151,2023-11-01,0.25,0.083,0.75,37.1,5.98,16.8,35.9,47.3,0.0,5.4,9.5
02FE4FD151,2023-12-01,0.25,0.083,0.75,36.91,5.28,16.2,33.9,49.9,0.0,5.4,9.5
02FE4FD151,2024-01-01,0.25,0.083,0.75,37.15,4.05,17.8,40.2,42.0,0.0,5.2,9.6
02FE4FD151,2024-02-01,0.25,0.083,0.75,36.89,3.98,18.8,38.9,42.3,0.0,5.3,9.7
02FE4FD151,2024-03-01,0.25,0.083,0.75,36.52,7.37,15.7,32.1,52.2,0.0,5.3,9.8
02FE4FD151,2024-04-01,0.083,0.083,0.75,36.97,10.9,16.8,25.1,58.1,0.0,5.1,9.4
02FE4FD151,2024-05-01,0.25,0.083,0.75,36.95,7.78,17.6,33.3,49.1,0.0,5.1,9.2
02FE4FD151,2024-06-01,0.083,0.083,0.75,37.28,8.24,15.1,31.0,53.9,0.0,4.9,9.0
02FE4FD151,2024-07-01,0.25,0.083,0.75,37.61,5.65,20.079920079920083,33.366633366633366,46.55344655344656,0.0,4.9,8.7
02FE4FD151,2024-08-01,0.25,0.083,0.75,38.03,5.52,17.9,32.3,49.8,0.0,4.9,8.9
02FE4FD151,2024-09-01,0.25,0.083,0.75,37.94,6.54,18.6,29.6,51.8,0.0,5.0,8.9
02FE4FD151,2024-10-01,0.25,0.083,0.75,37.64,8.54,17.1,27.2,55.7,0.0,5.1,9.0
02FE4FD151,2024-11-01,0.25,0.083,0.75,36.28,7.27,17.3,33.2,49.5,0.0,5.0,8.9
02FE4FD151,2024-12-01,0.25,0.083,0.75,36.43,4.34,17.5,32.6,49.9,0.0,1.6,9.0
035ADB2AA8,2023-01-01,0.75,0.583,0.75,26.73,13.86,25.0,10.0,65.0,0.0,21.8,27.8
035ADB2AA8,2023-02-01,0.75,0.583,0.583,26.5,13.68,22.72272272272272,13.613613613613612,63.66366366366366,0.0,21.8,27.8
035ADB2AA8,2023-03-01,0.75,0.583,0.75,25.71,16.43,15.184815184815184,15.184815184815184,69.63036963036964,0.0,21.8,27.8
035ADB2AA8,2023-04-01,0.583,0.417,0.583,19.82,35.48,11.9,8.3,79.8,0.0,21.8,27.8
035ADB2AA8,2023-05-01,0.75,0.583,0.75,20.96,5.24,11.1,18.5,70.4,0.0,21.8,27.8
035ADB2AA8,2023-06-01,0.75,0.583,0.75,20.76,2.97,21.421421421421417,21.421421421421417,57.15715715715716,0.0,21.8,27.8
035ADB2AA8,2023-07-01,0.75,0.583,0.75,21.34,1.26,12.5,37.5,50.0,0.0,21.8,27.8
035ADB2AA8,2023-08-01,0.75,0.75,0.75,20.0,1.3,22.0576773187841,15.58846453624318,62.35385814497272,0.0,21.8,27.8
035ADB2AA8,2023-09-01,0.917,0.917,0.917,19.82,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
035ADB2AA8,2023-10-01,0.917,0.917,0.917,17.95,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
035ADB2AA8,2023-11-01,0.917,0.917,0.917,17.2,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
035ADB2AA8,2023-12-01,0.917,0.917,0.917,17.24,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
035ADB2AA8,2024-01-01,0.917,0.917,0.917,16.88,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
035ADB2AA8,2024-02-01,0.917,0.917,0.917,15.97,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
035ADB2AA8,2024-03-01,0.917,0.917,0.917,14.63,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
035ADB2AA8,2024-04-01,0.917,0.917,0.917,24.44,6.84,30.545062061521858,13.869400971397733,55.58553696708041,0.0,21.8,27.8
