ENCODED_MCT,snapshot_date,TRADE_AREA,is_chain,has_delivery,MCT_OPE_MONTHS,MCT_OPE_MONTHS_QUANTILE,MCT_OPE_MONTHS_NORMALIZED,MCT_OPE_MS_GRADE,RC_UNIT_PRICE_RATIO,RC_M1_SAA,RC_M1_TO_UE_CT,RC_M1_AV_NP_AT,M12_SME_RY_SAA_PCE_RT,M12_SME_BZN_SAA_PCE_RT,M12_SME_RY_ME_MCT_RAT,M12_SME_BZN_ME_MCT_RAT,DLV_SAA_RAT,DLV_SAA_RAT_LOG,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT,MCT_UE_CLN_REU_RAT,MCT_UE_CLN_NEW_RAT,RC_M1_SHC_RSD_UE_CLN_RAT,RC_M1_SHC_WP_UE_CLN_RAT,RC_M1_SHC_FLP_UE_CLN_RAT,INDUSTRY_SALES_RATIO_NORM,INDUSTRY_STORES_RATIO_NORM,LOYALTY_SCORE,LOYALTY_SCORE_DELTA,AGE30_GENDER_DIFF,cluster
756D7DCEEE,2025-10-04,답십리,0,1,7,1,0.0199335548172757,0.75,5,0.583,0.25,0.75,29.0,33.9,18.0,7.7,2.0,1.098612289,9.2886,14.960399999999998,6.288299999999998,8.3022,2.2604999999999995,13.3114,21.439599999999995,9.011699999999998,11.897799999999998,3.239499999999999,29.17,9.47,19.980019980019986,31.26873126873127,48.75124875124875,67.35381096504402,64.27407989279857,19.7,19.700000000000003,-6.4792,0
8BA83008CB,2025-10-04,뚝섬,0,0,98,5,0.3222591362126246,0.417,1,0.583,0.583,0.417,29.5,37.0,18.0,9.0,0.0,0.0,13.23,17.388,7.056,3.696,0.63,18.27,24.012,9.744,5.104,0.8699999999999999,25.87,7.34,27.27272727272728,27.27272727272728,45.45454545454546,37.35242473950512,19.576970173047155,18.53,18.53,-6.624,0
86129404BB,2025-10-04,답십리,1,1,45,3,0.1461794019933555,0.583,2,0.417,0.083,0.75,4.5,12.4,18.0,7.7,5.1,1.808288771,15.079079079079078,16.048448448448447,9.63983983983984,9.693693693693692,3.338938938938939,12.94894894894895,13.78138138138138,8.278078078078078,8.324324324324325,2.867267267267267,39.57,5.28,32.5,12.1,55.4,86.73093362290044,95.08467527666753,34.29,34.29,2.2648,0
FEC2FCF4DA,2025-10-04,미분류,1,1,61,4,0.1993355481727574,0.417,3,0.583,0.25,0.75,21.8,27.8,17.1,8.6,10.3,2.424802726,11.9592,13.0011,6.795,8.154,5.3907,14.440799999999998,15.698899999999998,8.205,9.846,6.5093,29.55,6.94,43.65634365634365,9.190809190809189,47.15284715284715,49.99249127833099,50.00346556384723,22.61,22.61,-2.6978,3
62DCAD38F6,2025-10-04,성수,0,1,43,3,0.1395348837209302,0.583,1,0.583,0.417,0.75,22.2,30.2,18.0,7.8,46.5,3.860729711,14.904504504504509,14.52812812812813,4.328328328328328,2.333533533533534,1.5055055055055058,24.73513513513513,24.11051051051051,7.183183183183184,3.8726726726726737,2.4984984984984986,28.34,8.02,21.3,19.1,59.6,37.27040639512049,62.74345586026847,20.32,20.32,-9.5728,1
DA38CBD132,2025-10-04,왕십리,0,1,44,3,0.1428571428571428,0.583,3,0.583,0.417,0.583,21.5,36.5,18.0,9.4,27.1,3.335769576,17.72727272727273,10.805194805194809,2.32987012987013,2.498701298701299,0.438961038961039,34.72027972027972,21.162837162837164,4.563236763236763,4.893906093906094,0.8597402597402598,15.68,9.09,17.4,9.6,73.0,65.30855070119908,35.528960561883416,6.59,6.59,-10.368,0
1CCF1F16FD,2025-10-04,미분류,0,0,16,2,0.0498338870431893,0.75,5,0.583,0.25,0.75,21.8,27.8,17.1,8.6,0.0,0.0,5.6259,12.534900000000002,9.7055,3.3558,1.6779,11.4741,25.5651,19.7945,6.844200000000001,3.4221000000000004,43.56,4.4,52.2,5.0,42.8,49.99249127833099,50.00346556384723,39.16,39.16,-13.0302,3
E4D0E6B1B0,2025-10-04,성수,0,0,3,1,0.0066445182724252,0.917,1,0.583,0.417,0.75,81.0,60.0,16.2,7.8,0.0,0.0,22.21721721721721,8.886886886886886,3.0910910910910907,3.979779779779779,0.425025025025025,35.34034034034034,14.136136136136134,4.916916916916916,6.33053053053053,0.676076076076076,5.68,7.28,10.31031031031031,5.7057057057057055,83.98398398398399,19.998036180486565,71.29300187140448,-94.32,-1.6000000000000003,-5.244,0
8CA0382A69,2025-10-04,미분류,0,1,4,1,0.0099667774086378,0.917,1,0.75,0.417,0.75,21.8,27.8,17.1,8.6,3.7,1.547562509,9.7722,20.5056,10.733399999999998,5.553599999999999,6.8352,8.527799999999997,17.894399999999997,9.366599999999998,4.846399999999999,5.964799999999999,23.61,20.83,30.569430569430573,16.683316683316683,52.74725274725275,49.99249127833099,50.00346556384723,2.78,2.780000000000001,2.6112,2
D5F0182675,2025-10-04,성수,0,0,7,1,0.0199335548172757,0.75,5,0.75,0.583,0.75,73.2,53.8,16.2,7.8,0.0,0.0,5.730330330330331,14.874474474474477,6.543143143143143,9.103503503503504,4.348548548548549,8.383783783783786,21.762162162162166,9.572972972972972,13.31891891891892,6.362162162162163,34.84,14.84,55.6,8.3,36.1,11.963126400665388,35.631772289351474,20.0,20.000000000000004,-6.8808,3
A92743CA52,2025-10-04,성수,0,1,52,4,0.1694352159468438,0.583,4,0.083,0.083,0.583,2.5,11.2,18.0,7.8,0.3,0.262364264,12.349199999999998,7.203699999999999,2.7861,2.2841,0.4768999999999999,36.85079999999999,21.4963,8.313899999999999,6.8159,1.4230999999999998,13.03,13.45,5.2,8.0,86.8,98.35674514243468,91.52727398747776,-0.42,-0.4199999999999999,-14.2926,0
391836F1E0,2025-10-04,미분류,0,1,15,2,0.0465116279069767,0.75,1,0.583,0.417,0.583,21.8,27.8,17.1,8.6,5.0,1.791759469,14.64195804195804,7.068531468531468,2.01958041958042,2.338461538461539,0.5314685314685316,40.402997002997004,19.504895104895105,5.572827172827173,6.452747252747253,1.4665334665334666,13.11,7.15,17.482517482517483,3.196803196803197,79.32067932067932,49.99249127833099,50.00346556384723,5.96,5.959999999999999,-12.4488,0
4AD953D850,2025-10-04,미분류,1,1,16,2,0.0498338870431893,0.75,2,0.417,0.083,0.75,21.8,27.8,17.1,8.6,10.7,2.459588842,10.54,17.338300000000004,14.176300000000005,6.9037,3.7417000000000007,9.46,15.561700000000004,12.7237,6.196300000000001,3.3583000000000003,34.42,5.32,30.96903096903097,6.793206793206793,62.23776223776224,49.99249127833099,50.00346556384723,29.1,29.1,1.7766,3
36FA50BD7D,2025-10-04,뚝섬,0,1,11,1,0.0332225913621262,0.75,1,0.75,0.583,0.75,39.5,42.4,18.0,9.0,47.8,3.887730313,13.439799999999998,9.5062,3.427,2.1754,1.2516,31.6602,22.3938,8.073,5.1246,2.9484,30.81,3.78,22.2,27.8,50.0,17.89848208303491,18.33745350368505,27.03,27.03,-12.8876,1
AD57E72BC9,2025-10-04,성수,0,0,99,5,0.3255813953488372,0.417,5,0.25,0.083,0.583,2.1,10.1,18.0,7.8,0.0,0.0,13.816599999999998,8.2566,2.1406,2.5854,1.0008,35.8834,21.4434,5.5594,6.7146,2.5992,15.66,7.8,10.7,10.2,79.1,94.8599912205716,87.70129150012707,7.86,7.86,-13.1868,0
B0BF2F0AB2,2025-10-04,뚝섬,0,0,1,1,0.0,0.917,2,0.25,0.25,0.583,44.8,45.7,18.0,9.0,0.0,0.0,12.738600000000003,12.6038,4.212500000000001,3.0667000000000004,1.0784000000000002,25.0614,24.7962,8.2875,6.0333000000000006,2.1216000000000004,10.27,60.27,15.184815184815184,9.290709290709293,75.52447552447552,88.4983711849918,78.70064459487558,-50.0,-50.0,-12.1924,2
D3F29D0C95,2025-10-04,성수,0,1,52,4,0.1694352159468438,0.583,1,0.583,0.583,0.583,40.2,40.4,18.0,7.8,5.1,1.808288771,12.51658341658342,16.35174825174825,4.14895104895105,1.1156843156843157,0.7670329670329671,23.34755244755245,30.50139860139861,7.73916083916084,2.081118881118881,1.4307692307692308,22.25,5.22,11.1,22.2,66.7,21.98322667097937,21.16650879098029,17.03,17.03,-14.1638,0
63135A8618,2025-10-04,한양대,1,0,237,6,0.7840531561461794,0.083,2,0.417,0.083,0.917,18.9,47.6,18.0,11.3,0.0,0.0,27.406500000000005,5.390700000000001,4.394100000000001,6.206100000000001,1.9026000000000003,33.093500000000006,6.509300000000001,5.305900000000001,7.493900000000001,2.297400000000001,45.36,9.91,47.9,5.6,46.5,77.87815077513112,93.00071621652845,35.45,35.45,-1.1186,0
9FBE5BF7CF,2025-10-04,미분류,0,0,73,4,0.2392026578073089,0.417,1,0.583,0.083,0.75,21.8,27.8,17.1,8.6,0.0,0.0,15.277900000000002,32.6757,16.447500000000005,6.725200000000001,1.9737000000000005,5.6221000000000005,12.024300000000002,6.052500000000001,2.474800000000001,0.7263000000000001,53.07,4.5,9.7,40.3,50.0,49.99249127833099,50.00346556384723,48.57,48.57,20.6514,0
CD4571800C,2025-10-04,미분류,0,0,148,6,0.4883720930232558,0.25,4,0.583,0.417,0.583,21.8,27.8,17.1,8.6,0.0,0.0,8.586,13.553999999999998,9.396,13.5,8.964,7.314,11.546,8.004,11.5,7.636,30.7,7.9,17.882117882117882,26.77322677322677,55.344655344655344,49.99249127833099,50.00346556384723,22.8,22.8,2.008,3
E4899A583F,2025-10-04,한양대,0,1,152,6,0.5016611295681063,0.25,5,0.417,0.25,0.583,11.5,39.6,18.0,11.3,9.9,2.388762789,17.0973,10.5633,3.267,3.8841,1.4883,30.0027,18.5367,5.733,6.8159,2.6117,15.96,7.64,29.429429429429423,8.308308308308309,62.262262262262254,75.25067578495022,68.8988748469376,8.32,8.32,-7.9734,0
CD14EDE90F,2025-10-04,미분류,0,0,9,1,0.0265780730897009,0.75,1,0.75,0.583,0.75,21.8,27.8,17.1,8.6,0.0,0.0,15.4836,25.1532,9.914400000000002,8.3844,2.2644000000000006,9.816400000000002,15.946800000000003,6.2856000000000005,5.315600000000001,1.4356000000000002,31.12,7.65,28.6,23.8,47.6,49.99249127833099,50.00346556384723,23.47,23.47,9.2064,0
5AD0940FDD,2025-10-04,미분류,0,1,13,2,0.0398671096345514,0.75,2,0.583,0.25,0.75,21.8,27.8,17.1,8.6,67.4,4.225372825,11.816400000000002,15.5316,8.668800000000001,9.9072,5.676000000000001,11.083600000000002,14.568400000000004,8.131200000000002,9.292800000000002,5.324,30.72,5.63,57.4,2.0,40.6,49.99249127833099,50.00346556384723,25.09,25.09,0.9632,1
F1D42A1E4A,2025-10-04,한양대,0,1,124,5,0.4086378737541528,0.25,4,0.583,0.417,0.75,37.6,62.0,18.0,11.3,31.9,3.493472658,11.6064,16.5168,23.3616,18.228,4.6872,3.9936,5.6832,8.0384,6.272,1.6128,42.29,4.23,35.56443556443557,26.67332667332667,37.76223776223776,24.81170436430008,34.3911004320403,38.06,38.06,10.8336,3
08D893CAA8,2025-10-04,미분류,0,0,44,3,0.1428571428571428,0.583,1,0.75,0.583,0.75,21.8,27.8,17.1,8.6,0.0,0.0,6.6265,14.3041,10.4196,9.9169,4.4329,7.8735,16.9959,12.3804,11.7831,5.2671,27.47,4.03,68.4,5.3,26.3,49.99249127833099,50.00346556384723,23.44,23.44,-2.6918,3
A50A5265C1,2025-10-04,미분류,0,0,24,2,0.0764119601328903,0.583,2,0.917,0.917,0.917,21.8,27.8,17.1,8.6,0.0,0.0,10.0224,16.128,13.536,10.4832,7.4304,7.377600000000001,11.872,9.964,7.7168,5.4696,25.62,7.28,25.111856823266216,12.08053691275168,62.807606263982095,49.99249127833099,50.00346556384723,25.62,18.34,4.256,3
16FA1843AE,2025-10-04,미분류,0,1,16,2,0.0498338870431893,0.75,4,0.417,0.25,0.583,21.8,27.8,17.1,8.6,2.2,1.16315081,17.063963963963964,6.674774774774775,1.5081081081081078,2.318018018018018,0.3351351351351351,44.0971971971972,17.249149149149147,3.8972972972972975,5.9902902902902895,0.8660660660660661,12.78,7.44,9.590409590409587,5.594405594405593,84.81518481518482,49.99249127833099,50.00346556384723,5.34,5.339999999999999,-10.5638,0
5F0B05E1D7,2025-10-04,미분류,1,1,9,1,0.0265780730897009,0.75,2,0.417,0.083,0.75,21.8,27.8,17.1,8.6,3.1,1.410986974,14.9591,21.2121,6.6859,3.9923,1.2506,16.1409,22.8879,7.214099999999999,4.3077,1.3494,40.39,6.63,10.7,27.1,62.2,49.99249127833099,50.00346556384723,33.76,33.76,-1.6758,0
7439039EF1,2025-10-04,왕십리,0,0,147,6,0.4850498338870432,0.25,3,0.25,0.083,0.75,1.6,12.1,18.0,9.4,0.0,0.0,16.552800000000005,10.2564,4.989600000000002,5.306400000000002,2.494800000000001,25.24720000000001,15.643600000000005,7.610400000000002,8.093600000000002,3.805200000000001,22.57,7.81,34.23423423423424,4.404404404404405,61.36136136136136,95.49130143474343,92.81819652057388,14.76,14.760000000000002,-5.3872,0
A4A1BC46DF,2025-10-04,미분류,0,0,3,1,0.0066445182724252,0.917,6,0.75,0.583,0.583,21.8,27.8,17.1,8.6,0.0,0.0,13.716216216216214,10.972972972972972,1.355855855855856,4.0990990990990985,1.355855855855856,29.827327327327325,23.86186186186186,2.948448448448448,8.913913913913913,2.948448448448448,13.04,7.28,11.711711711711713,9.90990990990991,78.37837837837837,49.99249127833099,50.00346556384723,-86.96,5.759999999999999,-12.876,0
DA5B732423,2025-10-04,뚝섬,1,0,81,4,0.26578073089701,0.417,2,0.417,0.083,0.75,8.3,20.2,18.0,9.0,0.0,0.0,11.57777777777778,19.66136136136136,11.369169169169169,6.988388388388389,2.503303303303304,10.644444444444447,18.076376376376377,10.452652652652654,6.4250250250250245,2.3015015015015017,39.34,5.86,15.4,34.6,50.0,85.85125799967655,85.00970357877226,33.48,33.480000000000004,1.5834,0
4F374EBA09,2025-10-04,뚝섬,0,0,29,2,0.0930232558139534,0.583,5,0.583,0.417,0.583,37.1,41.2,18.0,9.0,0.0,0.0,11.679020979020978,14.987412587412583,7.214685314685314,4.265034965034966,1.7538461538461538,17.59170829170829,22.575024975024977,10.867232767232766,6.4242757242757245,2.6417582417582417,16.67,9.31,8.2,12.2,79.6,27.320772589700344,24.214472194626065,7.36,7.360000000000001,-7.5952,0
0C074FD60A,2025-10-04,성수,0,0,13,2,0.0398671096345514,0.75,4,0.417,0.417,0.583,15.3,25.5,18.0,7.8,0.0,0.0,17.1666,9.2664,0.9207,2.0196,0.3267,40.6334,21.9336,2.1793,4.7804,0.7733,11.24,8.27,9.4,3.5,87.1,70.64898458979276,30.983295982256315,2.97,2.9700000000000006,-12.6672,0
7829A485F0,2025-10-04,성수,0,0,26,2,0.0830564784053156,0.583,1,0.583,0.417,0.75,20.8,29.4,18.0,7.8,0.0,0.0,6.305594405594405,10.02937062937063,6.851748251748252,11.56853146853147,14.944755244755244,6.381718281718282,10.15044955044955,6.934465534465535,11.70819180819181,15.125174825174826,32.29,5.09,49.45054945054945,15.084915084915083,35.464535464535466,37.3813044382321,62.62678187741145,27.2,27.2,-0.1212,3
11191365FD,2025-10-04,금남시장,0,1,73,4,0.2392026578073089,0.417,1,0.917,0.75,0.583,88.4,79.5,18.0,8.9,97.2,4.587006215,6.537396761771558,6.498126841293146,3.355268205581884,27.49994431261276,27.49994431261276,9.187813894676864,10.211389321936622,4.491070905581415,3.490127932490936,1.2289175114420392,27.035,33.33,16.82278006744099,8.242787560884226,74.93443237167479,6.324654021209251,5.4415128341381145,-33.33,-6.294999999999998,0.0,1
9DA9844737,2025-10-04,뚝섬,0,0,1,1,0.0,0.917,4,0.583,0.25,0.75,67.0,56.8,18.0,9.0,0.0,0.0,8.585285285285286,16.25435435435435,6.243843843843843,1.7306306306306307,1.0858858858858855,16.74004004004004,31.69359359359359,12.174574574574573,3.3744744744744746,2.117317317317317,34.95,57.77,14.5,43.5,42.0,65.78737610609247,76.88930989071922,-22.82,-22.82,-15.4238,2
6A584E1D14,2025-10-04,금남시장,0,1,53,4,0.1727574750830564,0.417,6,0.583,0.583,0.417,34.6,37.3,18.0,8.9,7.4,2.128231706,6.303,9.359,9.5118,9.5882,3.438,10.197,15.140999999999998,15.3882,15.511799999999996,5.562,31.91,5.41,51.75175175175176,17.217217217217215,31.03103103103103,34.298685396113946,19.827068364022825,26.5,26.5,-5.782,3
9A9ADB69FB,2025-10-04,왕십리,0,0,20,2,0.0631229235880398,0.75,1,0.583,0.417,0.583,38.6,48.0,18.0,9.4,0.0,0.0,8.5281,14.3838,7.034699999999999,6.2487,3.1047,13.1719,22.2162,10.865299999999998,9.6513,4.795299999999999,30.19,6.37,36.13613613613614,19.419419419419416,44.44444444444444,25.516369013238453,24.214472194626065,23.82,23.82,-7.8324,3
FC6E670F70,2025-10-04,왕십리,0,0,2,1,0.0033222591362126,0.917,3,0.583,0.417,0.75,67.4,65.3,18.0,9.4,0.0,0.0,12.20859140859141,18.039560439560443,12.20859140859141,8.442757242757242,9.9004995004995,7.871328671328672,11.630769230769232,7.871328671328672,5.443356643356644,6.383216783216783,30.34,29.21,22.4,23.7,53.9,28.979622484578243,36.86724580089181,1.13,1.129999999999999,6.4152,2
45F19425EF,2025-10-04,성수,0,1,125,5,0.4119601328903654,0.25,3,0.583,0.417,0.75,31.4,35.9,18.0,7.8,0.9,0.641853886,9.821,14.335,13.175999999999998,10.858,12.81,6.279,9.165,8.424,6.941999999999999,8.19,33.78,6.64,39.3,19.7,41.0,34.778088394981864,36.20127994824757,27.14,27.14,5.17,3
37AA28CAF8,2025-10-04,성수,0,0,39,3,0.1262458471760797,0.583,3,0.25,0.25,0.583,7.8,19.4,18.0,7.8,0.0,0.0,14.80999000999001,9.05054945054945,1.787412587412587,2.2981018981018977,0.4539460539460539,37.33786213786213,22.81758241758241,4.506293706293706,5.793806193806193,1.1444555444555444,9.14,11.01,4.0,7.9,88.1,88.74789178199293,78.91839752327704,-1.87,-1.8699999999999992,-13.7808,0
770CC873E4,2025-10-04,성수,0,0,26,2,0.0830564784053156,0.583,1,0.583,0.417,0.583,30.2,35.1,18.0,7.8,0.0,0.0,11.4015,2.277,1.254,1.155,0.4125,57.69850000000001,11.523,6.346,5.845,2.0875,5.99,9.84,5.7,1.4,92.9,33.151583762678186,25.623801492502828,-3.85,-3.85,-9.246,0
A1886B3C8E,2025-10-04,답십리,0,1,29,2,0.0930232558139534,0.583,1,0.583,0.417,0.75,23.2,29.0,18.0,7.7,19.2,3.005682604,10.6596,21.9396,10.2084,11.562,2.0304000000000006,8.240400000000001,16.960400000000003,7.891600000000001,8.938000000000002,1.5696,37.56,5.01,26.1,21.7,52.2,35.13908462906915,34.980246286070745,32.55,32.550000000000004,4.9792,3
0DE3499749,2025-10-04,옥수,0,1,88,5,0.2890365448504983,0.417,1,0.75,0.583,0.583,53.8,52.9,18.0,7.4,42.8,3.779633817,5.835,15.637800000000002,6.5741,6.9242,3.9289,9.165,24.5622,10.3259,10.8758,6.1711,33.5,2.96,52.9,5.9,41.2,15.438509345470507,15.2825589723448,30.54,30.54,-8.9244,1
312F1E6B7B,2025-10-04,뚝섬,0,0,26,2,0.0830564784053156,0.583,6,0.75,0.583,0.75,64.0,55.2,18.0,9.0,0.0,0.0,6.766033966033967,6.867932067932069,2.323276723276724,3.4849150849150847,0.957842157842158,26.4007992007992,26.7984015984016,9.065334665334666,13.598001998002,3.7374625374625374,30.19,8.18,16.683316683316683,27.772227772227776,55.54445554445555,12.493357669292797,14.458909964651248,22.01,22.01,-19.9504,0
502658D9C9,2025-10-04,금남시장,0,1,80,4,0.2624584717607973,0.417,1,0.917,0.75,0.583,78.3,68.5,18.0,8.9,95.9,4.573679519,3.9476,8.9516,22.8516,11.8984,7.950799999999999,3.1524000000000005,7.148399999999999,18.2484,9.5016,6.3492,20.0,8.57,18.33401388321764,27.19477337688852,54.47121273989384,7.100940322990551,6.834091906753229,11.43,11.43,1.8032,1
69756C0A85,2025-10-04,미분류,0,0,55,4,0.1794019933554817,0.417,1,0.75,0.583,0.75,21.8,27.8,17.1,8.6,0.0,0.0,6.3023,18.4357,7.1858,23.3833,3.5929,4.3977,12.8643,5.0142,16.3167,2.5071,32.29,5.21,22.2,22.2,55.6,49.99249127833099,50.00346556384723,27.08,27.08,5.5714,3
4C8487EFAE,2025-10-04,미분류,0,0,31,3,0.0996677740863787,0.583,4,0.417,0.25,0.583,21.8,27.8,17.1,8.6,0.0,0.0,11.29249249249249,2.3565565565565563,0.6958958958958957,1.2652652652652652,0.1897897897897897,60.17897897897897,12.558358358358356,3.708508508508508,6.742742742742741,1.011411411411411,7.1,9.95,5.2,6.1,88.7,49.99249127833099,50.00346556384723,-2.85,-2.85,-10.1916,0
17FCA23DD7,2025-10-04,미분류,0,1,133,5,0.4385382059800664,0.25,4,0.583,0.417,0.583,21.8,27.8,17.1,8.6,34.5,3.569532696,2.8912,8.201,6.9222,5.6434,4.1422,7.5088,21.299,17.9778,14.6566,10.7578,36.52,3.18,53.35335335335335,4.404404404404405,42.24224224224224,49.99249127833099,50.00346556384723,33.34,33.34,-13.098,1
64477AD191,2025-10-04,왕십리,0,0,78,4,0.2558139534883721,0.417,1,0.75,0.417,0.75,33.3,42.4,14.2,9.0,0.0,0.0,12.95135135135135,16.30910910910911,10.313113113113111,10.073273273273273,10.253153153153152,8.670270270270269,10.918118118118118,6.904104104104103,6.743543543543543,6.863963963963964,26.8,2.53,10.6,21.3,68.1,17.110066307788276,22.908532218191898,24.27,24.27,5.3856,3
0C02E54954,2025-10-04,미분류,1,1,31,3,0.0996677740863787,0.583,1,0.583,0.083,0.917,21.8,27.8,17.1,8.6,4.4,1.686398954,11.748251748251745,16.101398601398596,11.066433566433563,9.755244755244751,3.828671328671328,10.629370629370626,14.567932067932064,10.01248751248751,8.826173826173825,3.464035964035963,33.25,5.27,53.05305305305305,8.80880880880881,38.13813813813814,49.99249127833099,50.00346556384723,27.98,27.98,1.535,3
085F6E716F,2025-10-04,미분류,0,0,16,2,0.0498338870431893,0.75,1,0.75,0.417,0.75,21.8,27.8,17.1,8.6,0.0,0.0,13.5042,17.118,12.6166,11.6022,8.559,7.7958,9.882,7.283400000000001,6.6978,4.941,32.09,9.35,17.8,13.3,68.9,49.99249127833099,50.00346556384723,22.74,22.74,7.236,3
